Approved symbol	Approved name	Status	Alias symbols	Gene group name
AA	"symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)"	Symbol Withdrawn		
AAAS	aladin WD repeat nucleoporin	Approved		WD repeat domain containing|Nucleoporins
AABT	"amino acid transport, beta"	Entry Withdrawn		
AAC1	"symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)"	Symbol Withdrawn		
AAC2	"symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)"	Symbol Withdrawn		
AACS	acetoacetyl-CoA synthetase	Approved	"FLJ12389, SUR-5, ACSF1"	Acyl-CoA synthetase family
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved		
AACT	"symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)"	Symbol Withdrawn		
AADAC	arylacetamide deacetylase	Approved	"DAC, CES5A1"	Arylacetamide deacetylase family|Lipases
AADACL2	arylacetamide deacetylase like 2	Approved	MGC72001	Arylacetamide deacetylase family
AADACL2-AS1	AADACL2 antisense RNA 1	Approved		Antisense RNAs
AADACL3	arylacetamide deacetylase like 3	Approved	OTTHUMG00000001887	Arylacetamide deacetylase family
AADACL4	arylacetamide deacetylase like 4	Approved	OTTHUMG00000001889	Arylacetamide deacetylase family
AADACP1	arylacetamide deacetylase pseudogene 1	Approved		
AADAT	aminoadipate aminotransferase	Approved	"KATII, KAT2, KYAT2"	
AAGAB	alpha and gamma adaptin binding protein	Approved	"FLJ11506, p34"	
AAK1	AP2 associated kinase 1	Approved	"KIAA1048, DKFZp686K16132"	Small nucleolar RNA protein coding host genes
AAMDC	adipogenesis associated Mth938 domain containing	Approved	"PTD015, FLJ21035, CK067"	
AAMP	angio associated migratory cell protein	Approved		WD repeat domain containing
AANAT	aralkylamine N-acetyltransferase	Approved	SNAT	GCN5 related N-acetyltransferases
AAR2	AAR2 splicing factor	Approved	bA234K24.2	
AARD	alanine and arginine rich domain containing protein	Approved	LOC441376	
AARS1	alanyl-tRNA synthetase 1	Approved	"CMT2N, AlaRS"	"Aminoacyl tRNA synthetases, Class II"
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	Approved		
AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	Approved	"KIAA1270, bA444E17.1"	"Aminoacyl tRNA synthetases, Class II"
AARSD1	alanyl-tRNA synthetase domain containing 1	Approved	MGC2744	
AARSD1P1	AARSD1 pseudogene 1	Approved		
AASDH	aminoadipate-semialdehyde dehydrogenase	Approved	"NRPS998, LYS2, ACSF4"	Acyl-CoA synthetase family
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved	"LYS5, CGI-80, AASD-PPT, ACPS"	
AASS	aminoadipate-semialdehyde synthase	Approved	"LORSDH, LKRSDH"	
AATBC	apoptosis associated transcript in bladder cancer	Approved		Long non-coding RNAs with non-systematic symbols
AATF	apoptosis antagonizing transcription factor	Approved	"DED, CHE-1, CHE1, BFR2"	MicroRNA protein coding host genes
AATK	apoptosis associated tyrosine kinase	Approved	"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"	Receptor tyrosine kinases|Protein phosphatase 1 regulatory subunits|MicroRNA protein coding host genes
AAVS1	adeno-associated virus integration site 1	Approved	AAV	
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved	INXS	Long non-coding RNAs with non-systematic symbols
ABAT	4-aminobutyrate aminotransferase	Approved	"GABAT, GABA-T"	
ABC1	"symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)"	Symbol Withdrawn		
ABC2	"symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)"	Symbol Withdrawn		
ABC3	"symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)"	Symbol Withdrawn		
ABC7	"symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)"	Symbol Withdrawn		
ABC50	"symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)"	Symbol Withdrawn		
ABCA1	ATP binding cassette subfamily A member 1	Approved	TGD	ATP binding cassette subfamily A
ABCA2	ATP binding cassette subfamily A member 2	Approved		ATP binding cassette subfamily A
ABCA3	ATP binding cassette subfamily A member 3	Approved	"ABC-C, EST111653, LBM180"	ATP binding cassette subfamily A
ABCA4	ATP binding cassette subfamily A member 4	Approved	"FFM, ARMD2, CORD3"	ATP binding cassette subfamily A
ABCA5	ATP binding cassette subfamily A member 5	Approved	EST90625	ATP binding cassette subfamily A
ABCA6	ATP binding cassette subfamily A member 6	Approved	EST155051	ATP binding cassette subfamily A|MicroRNA protein coding host genes
ABCA7	ATP binding cassette subfamily A member 7	Approved	ABCX	ATP binding cassette subfamily A
ABCA8	ATP binding cassette subfamily A member 8	Approved	KIAA0822	ATP binding cassette subfamily A
ABCA9	ATP binding cassette subfamily A member 9	Approved	EST640918	ATP binding cassette subfamily A
ABCA9-AS1	ABCA9 antisense RNA 1	Approved		Antisense RNAs
ABCA10	ATP binding cassette subfamily A member 10	Approved	EST698739	ATP binding cassette subfamily A
ABCA11P	"ATP binding cassette subfamily A member 11, pseudogene"	Approved	"EST1133530, FLJ14297"	ATP binding cassette subfamily A
ABCA12	ATP binding cassette subfamily A member 12	Approved	"DKFZP434G232, LI2"	ATP binding cassette subfamily A
ABCA13	ATP binding cassette subfamily A member 13	Approved	"FLJ33876, FLJ33951"	ATP binding cassette subfamily A
ABCA17P	"ATP binding cassette subfamily A member 17, pseudogene"	Approved		ATP binding cassette subfamily A
ABCB1	ATP binding cassette subfamily B member 1	Approved	"P-gp, CD243, GP170, ABC20"	ATP binding cassette subfamily B|CD molecules
ABCB2	"symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)"	Symbol Withdrawn		
ABCB3	"symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)"	Symbol Withdrawn		
ABCB4	ATP binding cassette subfamily B member 4	Approved	"MDR2, PFIC-3, GBD1"	ATP binding cassette subfamily B
ABCB5	ATP binding cassette subfamily B member 5	Approved	"EST422562, ABCB5beta, ABCB5alpha"	ATP binding cassette subfamily B
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved	"EST45597, umat, MTABC3"	ATP binding cassette subfamily B|Blood group antigens
ABCB7	ATP binding cassette subfamily B member 7	Approved	"EST140535, Atm1p, ASAT"	ATP binding cassette subfamily B
ABCB8	ATP binding cassette subfamily B member 8	Approved	"EST328128, M-ABC1, MABC1, MITOSUR"	ATP binding cassette subfamily B
ABCB9	ATP binding cassette subfamily B member 9	Approved	EST122234	ATP binding cassette subfamily B
ABCB10	ATP binding cassette subfamily B member 10	Approved	"EST20237, M-ABC2, MTABC2"	ATP binding cassette subfamily B
ABCB10P1	ABCB10 pseudogene 1	Approved	"M-ABC2, MABC2"	
ABCB10P2	"symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)"	Symbol Withdrawn		
ABCB10P3	ABCB10 pseudogene 3	Approved		
ABCB10P4	ABCB10 pseudogene 4	Approved		
ABCB11	ATP binding cassette subfamily B member 11	Approved	"ABC16, SPGP, PFIC-2, PGY4"	ATP binding cassette subfamily B
ABCC1	ATP binding cassette subfamily C member 1	Approved	GS-X	ATP binding cassette subfamily C
ABCC2	ATP binding cassette subfamily C member 2	Approved	"DJS, MRP2, cMRP"	ATP binding cassette subfamily C
ABCC3	ATP binding cassette subfamily C member 3	Approved	"MRP3, cMOAT2, EST90757, MLP2, MOAT-D"	ATP binding cassette subfamily C
ABCC4	ATP binding cassette subfamily C member 4	Approved	"MRP4, EST170205, MOAT-B, MOATB"	ATP binding cassette subfamily C
ABCC5	ATP binding cassette subfamily C member 5	Approved	"MRP5, SMRP, EST277145, MOAT-C"	ATP binding cassette subfamily C
ABCC5-AS1	ABCC5 antisense RNA 1	Approved		Antisense RNAs
ABCC6	ATP binding cassette subfamily C member 6	Approved	"MRP6, EST349056, MLP1, URG7"	ATP binding cassette subfamily C
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved		
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved		
ABCC7	"symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)"	Symbol Withdrawn		
ABCC8	ATP binding cassette subfamily C member 8	Approved	"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"	ATP binding cassette subfamily C
ABCC9	ATP binding cassette subfamily C member 9	Approved	"SUR2, CMD1O"	ATP binding cassette subfamily C
ABCC10	ATP binding cassette subfamily C member 10	Approved	"EST182763, MRP7, SIMRP7"	ATP binding cassette subfamily C|MicroRNA protein coding host genes
ABCC11	ATP binding cassette subfamily C member 11	Approved	MRP8	ATP binding cassette subfamily C
ABCC12	ATP binding cassette subfamily C member 12	Approved	MRP9	ATP binding cassette subfamily C
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved	"PRED6, C21orf73, ABCC13P"	ATP binding cassette subfamily C
ABCD1	ATP binding cassette subfamily D member 1	Approved	"AMN, ALDP, adrenoleukodystrophy"	ATP binding cassette subfamily D
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved		
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved	bA453N3.6	
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved		
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved		
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved		
ABCD2	ATP binding cassette subfamily D member 2	Approved	"ALDR, ALDRP"	ATP binding cassette subfamily D
ABCD3	ATP binding cassette subfamily D member 3	Approved	"PMP70, ZWS2"	ATP binding cassette subfamily D|GOLD domain containing
ABCD4	ATP binding cassette subfamily D member 4	Approved	"PMP69, P70R, EST352188"	ATP binding cassette subfamily D
ABCE1	ATP binding cassette subfamily E member 1	Approved	"RLI, OABP, RLI1"	ATP binding cassette subfamily E
ABCF1	ATP binding cassette subfamily F member 1	Approved	EST123147	ATP binding cassette subfamily F|MicroRNA protein coding host genes
ABCF1-DT	ABCF1 divergent transcript	Approved		Divergent transcripts
ABCF2	ATP binding cassette subfamily F member 2	Approved	"EST133090, ABC28, M-ABC1, HUSSY-18"	ATP binding cassette subfamily F
ABCF2-H2BE1	ABCF2-H2BE1 readthrough	Approved		
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved		
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved		
ABCF3	ATP binding cassette subfamily F member 3	Approved	EST201864	ATP binding cassette subfamily F
ABCG1	ATP binding cassette subfamily G member 1	Approved	ABC8	ATP binding cassette subfamily G
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved	"EST157481, MXR, BCRP, ABCP, CD338"	ATP binding cassette subfamily G|CD molecules|Blood group antigens
ABCG4	ATP binding cassette subfamily G member 4	Approved	WHITE2	ATP binding cassette subfamily G
ABCG5	ATP binding cassette subfamily G member 5	Approved	STSL	ATP binding cassette subfamily G
ABCG8	ATP binding cassette subfamily G member 8	Approved	GBD4	ATP binding cassette subfamily G
ABCR	"symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)"	Symbol Withdrawn		
ABHD1	abhydrolase domain containing 1	Approved	"LABH1, FLJ36128"	Abhydrolase domain containing
ABHD2	"abhydrolase domain containing 2, acylglycerol lipase"	Approved	LABH2	Abhydrolase domain containing
ABHD3	"abhydrolase domain containing 3, phospholipase"	Approved	LABH3	Abhydrolase domain containing
ABHD4	"abhydrolase domain containing 4, N-acyl phospholipase B"	Approved	FLJ12816	Abhydrolase domain containing
ABHD5	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Approved	"CGI-58, NCIE2"	Abhydrolase domain containing
ABHD6	"abhydrolase domain containing 6, acylglycerol lipase"	Approved		Abhydrolase domain containing
ABHD8	abhydrolase domain containing 8	Approved	"FLJ11743, MGC14280, MGC2512"	Abhydrolase domain containing
ABHD10	"abhydrolase domain containing 10, depalmitoylase"	Approved	FLJ11342	Abhydrolase domain containing
ABHD11	abhydrolase domain containing 11	Approved	PP1226	Abhydrolase domain containing
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	NCRNA00035	Antisense RNAs
ABHD11-AS2	ABHD11 antisense RNA 2	Entry Withdrawn		
ABHD12	"abhydrolase domain containing 12, lysophospholipase"	Approved	"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"	Abhydrolase domain containing
ABHD12B	abhydrolase domain containing 12B	Approved	BEM46L3	Abhydrolase domain containing
ABHD13	abhydrolase domain containing 13	Approved	"bA153I24.2, FLJ14906, BEM46L1"	Abhydrolase domain containing
ABHD14A	abhydrolase domain containing 14A	Approved	"DKFZP564O243, DORZ1"	Abhydrolase domain containing
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved		
ABHD14B	abhydrolase domain containing 14B	Approved	"MGC15429, CIB"	Abhydrolase domain containing
ABHD15	abhydrolase domain containing 15	Approved		Abhydrolase domain containing
ABHD15-AS1	ABHD15 antisense RNA 1	Approved	"linc-TP53I13, lnc-TP53I13"	Antisense RNAs
ABHD16A	"abhydrolase domain containing 16A, phospholipase"	Approved	"NG26, D6S82E"	Abhydrolase domain containing|MicroRNA protein coding host genes
ABHD16B	abhydrolase domain containing 16B	Approved	dJ591C20.1	Abhydrolase domain containing
ABHD17A	"abhydrolase domain containing 17A, depalmitoylase"	Approved	MGC5244	Depalmitoylases|Abhydrolase domain containing
ABHD17AP1	ABHD17A pseudogene 1	Approved	C1orf47	
ABHD17AP2	"symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)"	Symbol Withdrawn		
ABHD17AP3	ABHD17A pseudogene 3	Approved		
ABHD17AP4	ABHD17A pseudogene 4	Approved		
ABHD17AP5	ABHD17A pseudogene 5	Approved		
ABHD17AP6	ABHD17A pseudogene 6	Approved		
ABHD17AP7	ABHD17A pseudogene 7	Approved		
ABHD17AP8	ABHD17A pseudogene 8	Approved		
ABHD17AP9	ABHD17A pseudogene 9	Approved		
ABHD17B	"abhydrolase domain containing 17B, depalmitoylase"	Approved	CGI-67	Abhydrolase domain containing|Depalmitoylases
ABHD17C	"abhydrolase domain containing 17C, depalmitoylase"	Approved		Depalmitoylases|Abhydrolase domain containing
ABHD18	abhydrolase domain containing 18	Approved	FLJ21106	Abhydrolase domain containing
ABI1	abl interactor 1	Approved	"E3B1, ABI-1"	
ABI1P1	abl interactor 1 pseudogene 1	Approved		
ABI2	abl interactor 2	Approved	"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	SCAR/WAVE complex
ABI3	ABI family member 3	Approved	"NESH, SSH3BP3"	
ABI3BP	ABI family member 3 binding protein	Approved	"NESHBP, DKFZP586L2024, TARSH"	Fibronectin type III domain containing
ABITRAM	actin binding transcription modulator	Approved	"CG-8, FLJ20457, Simiate"	
ABITRAMP1	ABITRAM pseudogene 1	Approved		
ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	Approved	"JTK7, c-ABL, p150"	SH2 domain containing|Abl family tyrosine kinases
ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	Approved	ARG	Abl family tyrosine kinases|SH2 domain containing
ABLIM1	actin binding LIM protein 1	Approved	"abLIM, limatin"	LIM domain containing
ABLIM2	actin binding LIM protein family member 2	Approved	KIAA1808	LIM domain containing|MicroRNA protein coding host genes
ABLIM3	actin binding LIM protein family member 3	Approved	KIAA0843	LIM domain containing
ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	Approved	"A3GALNT, A3GALT1"	Blood group antigens|Glycosyltransferase family 6
ABR	ABR activator of RhoGEF and GTPase	Approved	MDB	Dbl family Rho GEFs|Pleckstrin homology domain containing|MicroRNA protein coding host genes|C2 domain containing
ABRA	actin binding Rho activating protein	Approved	STARS	
ABRACL	ABRA C-terminal like	Approved	"PRO2013, HSPC280, Costars"	
ABRAXAS1	"abraxas 1, BRCA1 A complex subunit"	Approved	"FLJ13614, ABRA1, ABRAXAS"	BRCA1 A complex
ABRAXAS2	"abraxas 2, BRISC complex subunit"	Approved	"Em:AC068896.4, ABRO1"	BRISC complex
ABT1	activator of basal transcription 1	Approved	Esf2	
ABT1P1	activator of basal transcription 1 pseudogene 1	Approved		
ABTB1	ankyrin repeat and BTB domain containing 1	Approved	"BPOZ, EF1ABP, Btb3, BTBD21"	BTB domain containing|Ankyrin repeat domain containing
ABTB2	ankyrin repeat and BTB domain containing 2	Approved	"DKFZP586C1619, BTBD22, ABTB2A"	BTB domain containing|Ankyrin repeat domain containing
ACAA1	acetyl-CoA acyltransferase 1	Approved		
ACAA2	acetyl-CoA acyltransferase 2	Approved	DSAEC	
ACACA	acetyl-CoA carboxylase alpha	Approved	ACC1	
ACACB	acetyl-CoA carboxylase beta	Approved	"HACC275, ACC2, ACCB"	
ACAD	"acyl-Coenzyme A dehydrogenase, multiple (chr X)"	Entry Withdrawn		
ACAD8	acyl-CoA dehydrogenase family member 8	Approved		Acyl-CoA dehydrogenase family
ACAD9	acyl-CoA dehydrogenase family member 9	Approved	"NPD002, MGC14452"	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex
ACAD10	acyl-CoA dehydrogenase family member 10	Approved	MGC5601	Acyl-CoA dehydrogenase family
ACAD11	acyl-CoA dehydrogenase family member 11	Approved	FLJ12592	Acyl-CoA dehydrogenase family
ACADL	acyl-CoA dehydrogenase long chain	Approved	"LCAD, ACAD4"	Acyl-CoA dehydrogenase family
ACADM	acyl-CoA dehydrogenase medium chain	Approved	"MCAD, MCADH, ACAD1"	Acyl-CoA dehydrogenase family
ACADS	acyl-CoA dehydrogenase short chain	Approved	"SCAD, ACAD3"	Acyl-CoA dehydrogenase family
ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved	"SBCAD, ACAD7"	Acyl-CoA dehydrogenase family
ACADVL	acyl-CoA dehydrogenase very long chain	Approved	"VLCAD, LCACD, ACAD6"	Acyl-CoA dehydrogenase family
ACAN	aggrecan	Approved	CSPGCP	Sushi domain containing|C-type lectin domain containing|V-set domain containing|Hyalectan proteoglycans
ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	Approved	KIAA0050	ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing
ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	Approved	"KIAA0041, CNT-B2"	BAR-PH domain containing|Ankyrin repeat domain containing|ArfGAPs
ACAP2-IT1	ACAP2 intronic transcript 1	Approved		Intronic transcripts
ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Approved	KIAA1716	BAR-PH domain containing|Ankyrin repeat domain containing|ArfGAPs|MicroRNA protein coding host genes
ACAT1	acetyl-CoA acetyltransferase 1	Approved	THIL	
ACAT2	acetyl-CoA acetyltransferase 2	Approved		
ACBD3	acyl-CoA binding domain containing 3	Approved	"GCP60, PAP7"	A-kinase anchoring proteins
ACBD3-AS1	ACBD3 antisense RNA 1	Approved	RP11-275I14.4	Antisense RNAs
ACBD4	acyl-CoA binding domain containing 4	Approved	FLJ13322	
ACBD5	acyl-CoA binding domain containing 5	Approved	"DKFZp434A2417, KIAA1996"	
ACBD6	acyl-CoA binding domain containing 6	Approved	MGC2404	MicroRNA protein coding host genes|Ankyrin repeat domain containing
ACBD7	acyl-CoA binding domain containing 7	Approved	"FLJ38219, bA455B2.2"	
ACBP	"symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)"	Symbol Withdrawn		
ACC	"symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)"	Symbol Withdrawn		
ACCN	"symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)"	Symbol Withdrawn		
ACCPN	"symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)"	Symbol Withdrawn		
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved	"PHACS, ACS"	
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved		
ACD	ACD shelterin complex subunit and telomerase recruitment factor	Approved	"Ptop, Pip1, Tpp1, Tint1"	Shelterin complex
ACE	angiotensin I converting enzyme	Approved	"ACE1, CD143"	CD molecules
ACE2	angiotensin I converting enzyme 2	Approved		
ACE3P	"angiotensin I converting enzyme 3, pseudogene"	Approved		
ACER1	alkaline ceramidase 1	Approved		Alkaline ceramidases
ACER2	alkaline ceramidase 2	Approved	"FLJ41587, ALKCDase2"	Alkaline ceramidases
ACER2P1	ACER2 pseudogene 1	Approved		
ACER3	alkaline ceramidase 3	Approved	"FLJ11238, APHC"	Alkaline ceramidases
ACH	"symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)"	Symbol Withdrawn		
ACHAP	"symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)"	Symbol Withdrawn		
ACHE	acetylcholinesterase (Cartwright blood group)	Approved		Blood group antigens
ACHM1	"symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)"	Symbol Withdrawn		
ACHM2	"symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)"	Symbol Withdrawn		
ACHM3	"symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)"	Symbol Withdrawn		
ACHRD	"symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)"	Symbol Withdrawn		
ACHRG	"symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)"	Symbol Withdrawn		
ACIN1	apoptotic chromatin condensation inducer 1	Approved	"KIAA0670, fSAP152"	ASAP complex
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	"CCBP1, GPD, Dfy, CD234"	Atypical chemokine receptors|CD molecules|Blood group antigens
ACKR2	atypical chemokine receptor 2	Approved	"CCR10, D6, CCR9"	Atypical chemokine receptors
ACKR3	atypical chemokine receptor 3	Approved	"RDC1, GPR159"	Atypical chemokine receptors
ACKR4	atypical chemokine receptor 4	Approved	"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1"	Atypical chemokine receptors
ACKR4P1	ACKR4 pseudogene 1	Approved	dJ509I19.4	
ACLS	acrocallosal syndrome	Entry Withdrawn		
ACLY	ATP citrate lyase	Approved	"ATPCL, CLATP, ACL"	
ACMG	acromegaly	Entry Withdrawn		
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved		MicroRNA protein coding host genes
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	Approved		
ACO1	aconitase 1	Approved	"IRP1, IREBP"	
ACO2	aconitase 2	Approved	ACONM	
ACOD1	aconitate decarboxylase 1	Approved	CAD	
ACOT1	acyl-CoA thioesterase 1	Approved	"ACH2, CTE-1, LACH2"	Acyl-CoA thioesterases
ACOT2	acyl-CoA thioesterase 2	Approved	"Mte1, ZAP128"	Acyl-CoA thioesterases
ACOT4	acyl-CoA thioesterase 4	Approved	"FLJ31235, PTE-Ib, PTE2B"	Acyl-CoA thioesterases
ACOT6	acyl-CoA thioesterase 6	Approved		Acyl-CoA thioesterases
ACOT7	acyl-CoA thioesterase 7	Approved	"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH"	Acyl-CoA thioesterases
ACOT8	acyl-CoA thioesterase 8	Approved	"hACTE-III, hTE, PTE-2, NAP1"	Acyl-CoA thioesterases
ACOT9	acyl-CoA thioesterase 9	Approved	"CGI-16, MT-ACT48, ACATE2"	Acyl-CoA thioesterases
ACOT11	acyl-CoA thioesterase 11	Approved	"STARD14, BFIT, KIAA0707, BFIT1, THEM1"	Acyl-CoA thioesterases|StAR related lipid transfer domain containing
ACOT12	acyl-CoA thioesterase 12	Approved	"Cach, THEAL, STARD15"	StAR related lipid transfer domain containing|Acyl-CoA thioesterases
ACOT13	acyl-CoA thioesterase 13	Approved	HT012	Acyl-CoA thioesterases
ACOX1	acyl-CoA oxidase 1	Approved	PALMCOX	
ACOX2	acyl-CoA oxidase 2	Approved	"BRCACOX, BRCOX, THCCox"	
ACOX3	"acyl-CoA oxidase 3, pristanoyl"	Approved		
ACOXL	acyl-CoA oxidase like	Approved	FLJ11042	
ACOXL-AS1	ACOXL antisense RNA 1	Approved		Antisense RNAs
ACP1	acid phosphatase 1	Approved	"HAAP, LMW-PTP, LMWPTP"	Acid phosphatases|Class II Cys-based phosphatases
ACP2	"acid phosphatase 2, lysosomal"	Approved	LAP	Acid phosphatases
ACP3	acid phosphatase 3	Approved	"ACP-3, PAP, TM-PAP"	Acid phosphatases
ACP4	acid phosphatase 4	Approved		Acid phosphatases
ACP5	"acid phosphatase 5, tartrate resistant"	Approved	"TRAP, HPAP"	Acid phosphatases
ACP6	"acid phosphatase 6, lysophosphatidic"	Approved	"LPAP, ACPL1"	Acid phosphatases
ACP7	"acid phosphatase 7, tartrate resistant (putative)"	Approved	"FLJ16165, PAPL1, PAPL"	Acid phosphatases
ACR	acrosin	Approved		
ACRBP	acrosin binding protein	Approved	"SP32, OY-TES-1, CT23"	Armadillo like helical domain containing
